mesh,scroll,window_z,wrap,area_cm2,verdict,median_angle_deg,aligned_lt30,reprova,path
PHerc0125_z16544_w020,PHerc0125,16544,w020,2.54,aprova,5.60,True,False,meshes/PHerc0125/z16544_w020
PHerc0125_z16544_w040,PHerc0125,16544,w040,4.74,,6.70,True,False,meshes/PHerc0125/z16544_w040
PHerc0125_z16544_w060,PHerc0125,16544,w060,6.84,,12.00,True,False,meshes/PHerc0125/z16544_w060
PHerc0125_z16544_w080,PHerc0125,16544,w080,8.47,,6.40,True,False,meshes/PHerc0125/z16544_w080
PHerc0125_z16544_w100,PHerc0125,16544,w100,9.89,parcial,6.50,True,False,meshes/PHerc0125/z16544_w100
PHerc0125_z17136_w020,PHerc0125,17136,w020,2.31,reprova,6.40,True,True,meshes/PHerc0125/z17136_w020
PHerc0125_z17136_w040,PHerc0125,17136,w040,4.44,,5.90,True,False,meshes/PHerc0125/z17136_w040
PHerc0125_z17136_w060,PHerc0125,17136,w060,6.54,,22.10,True,False,meshes/PHerc0125/z17136_w060
PHerc0125_z17136_w080,PHerc0125,17136,w080,8.30,,21.70,True,False,meshes/PHerc0125/z17136_w080
PHerc0125_z17136_w100,PHerc0125,17136,w100,10.05,,11.30,True,False,meshes/PHerc0125/z17136_w100
PHerc0211_z3712_w020,PHerc0211,3712,w020,1.98,aprova,11.20,True,False,meshes/PHerc0211/z3712_w020
PHerc0211_z3712_w040,PHerc0211,3712,w040,3.98,,21.40,True,False,meshes/PHerc0211/z3712_w040
PHerc0211_z3712_w060,PHerc0211,3712,w060,5.86,,22.20,True,False,meshes/PHerc0211/z3712_w060
PHerc0211_z3712_w080,PHerc0211,3712,w080,7.37,,10.90,True,False,meshes/PHerc0211/z3712_w080
PHerc0211_z3712_w100,PHerc0211,3712,w100,8.61,,29.30,True,False,meshes/PHerc0211/z3712_w100
PHerc0211_z4320_w020,PHerc0211,4320,w020,1.90,reprova,5.20,True,True,meshes/PHerc0211/z4320_w020
PHerc0211_z4320_w040,PHerc0211,4320,w040,3.89,,6.00,True,False,meshes/PHerc0211/z4320_w040
PHerc0211_z4320_w060,PHerc0211,4320,w060,6.14,,7.80,True,False,meshes/PHerc0211/z4320_w060
PHerc0211_z4320_w080,PHerc0211,4320,w080,8.33,,7.00,True,False,meshes/PHerc0211/z4320_w080
PHerc0211_z4320_w100,PHerc0211,4320,w100,10.06,,29.60,True,False,meshes/PHerc0211/z4320_w100
PHerc0211_z4912_w020,PHerc0211,4912,w020,2.01,aprova,5.90,True,False,meshes/PHerc0211/z4912_w020
PHerc0211_z4912_w040,PHerc0211,4912,w040,4.10,,9.30,True,False,meshes/PHerc0211/z4912_w040
PHerc0211_z4912_w060,PHerc0211,4912,w060,6.30,,7.30,True,False,meshes/PHerc0211/z4912_w060
PHerc0211_z4912_w080,PHerc0211,4912,w080,8.46,reprova,6.30,True,True,meshes/PHerc0211/z4912_w080
PHerc0211_z4912_w100,PHerc0211,4912,w100,9.77,,10.70,True,False,meshes/PHerc0211/z4912_w100
PHerc0211_z5520_w020,PHerc0211,5520,w020,1.87,aprova,7.40,True,False,meshes/PHerc0211/z5520_w020
PHerc0211_z5520_w040,PHerc0211,5520,w040,3.99,,13.10,True,False,meshes/PHerc0211/z5520_w040
PHerc0211_z5520_w060,PHerc0211,5520,w060,6.26,,5.30,True,False,meshes/PHerc0211/z5520_w060
PHerc0211_z5520_w080,PHerc0211,5520,w080,8.62,,11.00,True,False,meshes/PHerc0211/z5520_w080
PHerc0211_z5520_w100,PHerc0211,5520,w100,9.75,,8.90,True,False,meshes/PHerc0211/z5520_w100
PHerc0211_z6112_w020,PHerc0211,6112,w020,1.95,aprova,3.80,True,False,meshes/PHerc0211/z6112_w020
PHerc0211_z6112_w040,PHerc0211,6112,w040,4.10,,5.10,True,False,meshes/PHerc0211/z6112_w040
PHerc0211_z6112_w060,PHerc0211,6112,w060,6.42,,8.10,True,False,meshes/PHerc0211/z6112_w060
PHerc0211_z6112_w080,PHerc0211,6112,w080,8.72,parcial,8.30,True,False,meshes/PHerc0211/z6112_w080
PHerc0211_z6112_w100,PHerc0211,6112,w100,9.50,,7.90,True,False,meshes/PHerc0211/z6112_w100
PHerc0211_z6720_w020,PHerc0211,6720,w020,1.96,aprova,1.80,True,False,meshes/PHerc0211/z6720_w020
PHerc0211_z6720_w040,PHerc0211,6720,w040,4.17,,5.00,True,False,meshes/PHerc0211/z6720_w040
PHerc0211_z6720_w060,PHerc0211,6720,w060,6.43,parcial,10.00,True,False,meshes/PHerc0211/z6720_w060
PHerc0211_z6720_w080,PHerc0211,6720,w080,8.65,,11.00,True,False,meshes/PHerc0211/z6720_w080
PHerc0211_z6720_w100,PHerc0211,6720,w100,9.28,reprova,20.10,True,True,meshes/PHerc0211/z6720_w100
PHerc0211_z7312_w020,PHerc0211,7312,w020,1.97,,3.10,True,False,meshes/PHerc0211/z7312_w020
PHerc0211_z7312_w040,PHerc0211,7312,w040,4.10,,5.30,True,False,meshes/PHerc0211/z7312_w040
PHerc0211_z7312_w060,PHerc0211,7312,w060,6.42,,6.40,True,False,meshes/PHerc0211/z7312_w060
PHerc0211_z7312_w080,PHerc0211,7312,w080,8.59,,7.30,True,False,meshes/PHerc0211/z7312_w080
PHerc0211_z7312_w100,PHerc0211,7312,w100,9.30,,5.40,True,False,meshes/PHerc0211/z7312_w100
PHerc0211_z7920_w020,PHerc0211,7920,w020,1.85,aprova,2.40,True,False,meshes/PHerc0211/z7920_w020
PHerc0211_z7920_w040,PHerc0211,7920,w040,3.90,,3.00,True,False,meshes/PHerc0211/z7920_w040
PHerc0211_z7920_w060,PHerc0211,7920,w060,6.23,,3.40,True,False,meshes/PHerc0211/z7920_w060
PHerc0211_z7920_w080,PHerc0211,7920,w080,8.31,,5.70,True,False,meshes/PHerc0211/z7920_w080
PHerc0211_z7920_w100,PHerc0211,7920,w100,9.35,,,,False,meshes/PHerc0211/z7920_w100
PHerc0211_z9120_w020,PHerc0211,9120,w020,2.09,aprova,3.30,True,False,meshes/PHerc0211/z9120_w020
PHerc0211_z9120_w040,PHerc0211,9120,w040,4.16,,6.00,True,False,meshes/PHerc0211/z9120_w040
PHerc0211_z9120_w060,PHerc0211,9120,w060,6.36,,7.70,True,False,meshes/PHerc0211/z9120_w060
PHerc0211_z9120_w080,PHerc0211,9120,w080,8.78,,5.40,True,False,meshes/PHerc0211/z9120_w080
PHerc0211_z9120_w100,PHerc0211,9120,w100,9.37,reprova,,,True,meshes/PHerc0211/z9120_w100
PHerc0211_z9712_w020,PHerc0211,9712,w020,2.07,,3.60,True,False,meshes/PHerc0211/z9712_w020
PHerc0211_z9712_w040,PHerc0211,9712,w040,4.41,,5.70,True,False,meshes/PHerc0211/z9712_w040
PHerc0211_z9712_w060,PHerc0211,9712,w060,6.54,,5.00,True,False,meshes/PHerc0211/z9712_w060
PHerc0211_z9712_w080,PHerc0211,9712,w080,9.35,,6.50,True,False,meshes/PHerc0211/z9712_w080
PHerc0211_z9712_w100,PHerc0211,9712,w100,9.57,,17.50,True,False,meshes/PHerc0211/z9712_w100
PHerc0211_z10320_w020,PHerc0211,10320,w020,2.25,aprova,4.70,True,False,meshes/PHerc0211/z10320_w020
PHerc0211_z10320_w040,PHerc0211,10320,w040,4.58,,4.30,True,False,meshes/PHerc0211/z10320_w040
PHerc0211_z10320_w060,PHerc0211,10320,w060,6.57,,3.40,True,False,meshes/PHerc0211/z10320_w060
PHerc0211_z10320_w080,PHerc0211,10320,w080,8.65,,11.30,True,False,meshes/PHerc0211/z10320_w080
PHerc0211_z10320_w100,PHerc0211,10320,w100,9.86,,25.60,True,False,meshes/PHerc0211/z10320_w100
PHerc0211_z10912_w020,PHerc0211,10912,w020,2.20,reprova,4.50,True,True,meshes/PHerc0211/z10912_w020
PHerc0211_z10912_w040,PHerc0211,10912,w040,4.26,,4.40,True,False,meshes/PHerc0211/z10912_w040
PHerc0211_z10912_w060,PHerc0211,10912,w060,6.23,,7.10,True,False,meshes/PHerc0211/z10912_w060
PHerc0211_z10912_w080,PHerc0211,10912,w080,8.28,,11.20,True,False,meshes/PHerc0211/z10912_w080
PHerc0211_z10912_w100,PHerc0211,10912,w100,10.03,,39.70,False,False,meshes/PHerc0211/z10912_w100
PHerc0211_z11520_w020,PHerc0211,11520,w020,1.97,aprova,4.50,True,False,meshes/PHerc0211/z11520_w020
PHerc0211_z11520_w040,PHerc0211,11520,w040,3.88,reprova,12.10,True,True,meshes/PHerc0211/z11520_w040
PHerc0211_z11520_w060,PHerc0211,11520,w060,5.59,,7.70,True,False,meshes/PHerc0211/z11520_w060
PHerc0211_z11520_w080,PHerc0211,11520,w080,7.52,,18.00,True,False,meshes/PHerc0211/z11520_w080
PHerc0211_z11520_w100,PHerc0211,11520,w100,9.47,,6.10,True,False,meshes/PHerc0211/z11520_w100
PHerc0211_z12112_w020,PHerc0211,12112,w020,1.67,reprova,23.40,True,True,meshes/PHerc0211/z12112_w020
PHerc0211_z12112_w040,PHerc0211,12112,w040,3.80,,8.10,True,False,meshes/PHerc0211/z12112_w040
PHerc0211_z12112_w060,PHerc0211,12112,w060,5.60,,11.80,True,False,meshes/PHerc0211/z12112_w060
PHerc0211_z12112_w080,PHerc0211,12112,w080,7.28,,7.90,True,False,meshes/PHerc0211/z12112_w080
PHerc0211_z12112_w100,PHerc0211,12112,w100,9.31,,19.10,True,False,meshes/PHerc0211/z12112_w100
PHerc0211_z12720_w020,PHerc0211,12720,w020,2.19,reprova,17.50,True,True,meshes/PHerc0211/z12720_w020
PHerc0211_z12720_w040,PHerc0211,12720,w040,4.07,,31.70,False,False,meshes/PHerc0211/z12720_w040
PHerc0211_z12720_w060,PHerc0211,12720,w060,6.03,,7.10,True,False,meshes/PHerc0211/z12720_w060
PHerc0211_z12720_w080,PHerc0211,12720,w080,8.09,,21.20,True,False,meshes/PHerc0211/z12720_w080
PHerc0211_z12720_w100,PHerc0211,12720,w100,10.53,,24.40,True,False,meshes/PHerc0211/z12720_w100
PHerc0211_z13312_w020,PHerc0211,13312,w020,1.84,reprova,5.80,True,True,meshes/PHerc0211/z13312_w020
PHerc0211_z13312_w040,PHerc0211,13312,w040,3.80,,3.80,True,False,meshes/PHerc0211/z13312_w040
PHerc0211_z13312_w060,PHerc0211,13312,w060,5.90,,29.30,True,False,meshes/PHerc0211/z13312_w060
PHerc0211_z13312_w080,PHerc0211,13312,w080,7.89,,21.30,True,False,meshes/PHerc0211/z13312_w080
PHerc0211_z13312_w100,PHerc0211,13312,w100,9.79,,16.20,True,False,meshes/PHerc0211/z13312_w100
PHerc0211_z13920_w020,PHerc0211,13920,w020,1.64,aprova,8.30,True,False,meshes/PHerc0211/z13920_w020
PHerc0211_z13920_w040,PHerc0211,13920,w040,3.75,,37.60,False,False,meshes/PHerc0211/z13920_w040
PHerc0211_z13920_w060,PHerc0211,13920,w060,5.92,,7.70,True,False,meshes/PHerc0211/z13920_w060
PHerc0211_z13920_w080,PHerc0211,13920,w080,8.00,reprova,6.40,True,True,meshes/PHerc0211/z13920_w080
PHerc0211_z13920_w100,PHerc0211,13920,w100,9.65,,21.40,True,False,meshes/PHerc0211/z13920_w100
PHerc0211_z14512_w020,PHerc0211,14512,w020,1.70,parcial,3.90,True,False,meshes/PHerc0211/z14512_w020
PHerc0211_z14512_w040,PHerc0211,14512,w040,3.69,,28.30,True,False,meshes/PHerc0211/z14512_w040
PHerc0211_z14512_w060,PHerc0211,14512,w060,5.93,,13.10,True,False,meshes/PHerc0211/z14512_w060
PHerc0211_z14512_w080,PHerc0211,14512,w080,7.75,parcial,16.60,True,False,meshes/PHerc0211/z14512_w080
PHerc0211_z14512_w100,PHerc0211,14512,w100,9.36,parcial,22.00,True,False,meshes/PHerc0211/z14512_w100
PHerc0257_z3744_w020,PHerc0257,3744,w020,1.86,,7.40,True,False,meshes/PHerc0257/z3744_w020
PHerc0257_z3744_w040,PHerc0257,3744,w040,3.63,,8.50,True,False,meshes/PHerc0257/z3744_w040
PHerc0257_z3744_w060,PHerc0257,3744,w060,5.58,,11.40,True,False,meshes/PHerc0257/z3744_w060
PHerc0257_z4352_w020,PHerc0257,4352,w020,1.83,,5.40,True,False,meshes/PHerc0257/z4352_w020
PHerc0257_z4352_w040,PHerc0257,4352,w040,3.79,,6.70,True,False,meshes/PHerc0257/z4352_w040
PHerc0257_z4352_w060,PHerc0257,4352,w060,5.98,,22.00,True,False,meshes/PHerc0257/z4352_w060
PHerc0268_z3872_w020,PHerc0268,3872,w020,1.68,,28.70,True,False,meshes/PHerc0268/z3872_w020
PHerc0268_z3872_w040,PHerc0268,3872,w040,3.37,,14.20,True,False,meshes/PHerc0268/z3872_w040
PHerc0268_z3872_w060,PHerc0268,3872,w060,4.91,,29.90,True,False,meshes/PHerc0268/z3872_w060
PHerc0268_z12272_w020,PHerc0268,12272,w020,1.53,,21.60,True,False,meshes/PHerc0268/z12272_w020
PHerc0268_z12272_w040,PHerc0268,12272,w040,3.23,,11.50,True,False,meshes/PHerc0268/z12272_w040
PHerc0268_z12272_w060,PHerc0268,12272,w060,4.85,,16.20,True,False,meshes/PHerc0268/z12272_w060
PHerc0358_z11280_w020,PHerc0358,11280,w020,1.65,,4.20,True,False,meshes/PHerc0358/z11280_w020
PHerc0358_z11280_w040,PHerc0358,11280,w040,3.71,,13.00,True,False,meshes/PHerc0358/z11280_w040
PHerc0358_z11280_w060,PHerc0358,11280,w060,5.72,,5.00,True,False,meshes/PHerc0358/z11280_w060
PHerc0800_z5664_w020,PHerc0800,5664,w020,1.74,aprova,5.70,True,False,meshes/PHerc0800/z5664_w020
PHerc0800_z5664_w040,PHerc0800,5664,w040,3.74,,4.60,True,False,meshes/PHerc0800/z5664_w040
PHerc0800_z5664_w060,PHerc0800,5664,w060,5.49,,12.90,True,False,meshes/PHerc0800/z5664_w060
PHerc0800_z5664_w080,PHerc0800,5664,w080,6.98,,10.90,True,False,meshes/PHerc0800/z5664_w080
PHerc0800_z5664_w100,PHerc0800,5664,w100,8.48,,20.90,True,False,meshes/PHerc0800/z5664_w100
PHerc0800_z6272_w020,PHerc0800,6272,w020,1.85,parcial,11.10,True,False,meshes/PHerc0800/z6272_w020
PHerc0800_z6272_w040,PHerc0800,6272,w040,3.73,,4.00,True,False,meshes/PHerc0800/z6272_w040
PHerc0800_z6272_w060,PHerc0800,6272,w060,5.48,,6.10,True,False,meshes/PHerc0800/z6272_w060
PHerc0800_z6272_w080,PHerc0800,6272,w080,7.06,,10.10,True,False,meshes/PHerc0800/z6272_w080
PHerc0800_z6272_w100,PHerc0800,6272,w100,8.46,,11.60,True,False,meshes/PHerc0800/z6272_w100
PHerc0800_z6864_w020,PHerc0800,6864,w020,1.78,parcial,7.50,True,False,meshes/PHerc0800/z6864_w020
PHerc0800_z6864_w040,PHerc0800,6864,w040,3.71,,13.60,True,False,meshes/PHerc0800/z6864_w040
PHerc0800_z6864_w060,PHerc0800,6864,w060,5.38,reprova,3.40,True,True,meshes/PHerc0800/z6864_w060
PHerc0800_z6864_w080,PHerc0800,6864,w080,6.85,,6.30,True,False,meshes/PHerc0800/z6864_w080
PHerc0800_z6864_w100,PHerc0800,6864,w100,8.53,,1.50,True,False,meshes/PHerc0800/z6864_w100
PHerc0800_z7472_w020,PHerc0800,7472,w020,1.66,reprova,13.90,True,True,meshes/PHerc0800/z7472_w020
PHerc0800_z7472_w040,PHerc0800,7472,w040,3.37,,9.50,True,False,meshes/PHerc0800/z7472_w040
PHerc0800_z7472_w060,PHerc0800,7472,w060,5.27,,28.60,True,False,meshes/PHerc0800/z7472_w060
PHerc0800_z7472_w080,PHerc0800,7472,w080,6.83,,17.20,True,False,meshes/PHerc0800/z7472_w080
PHerc0800_z7472_w100,PHerc0800,7472,w100,8.36,,7.90,True,False,meshes/PHerc0800/z7472_w100
PHerc0800_z8064_w020,PHerc0800,8064,w020,1.69,reprova,11.60,True,True,meshes/PHerc0800/z8064_w020
PHerc0800_z8064_w040,PHerc0800,8064,w040,3.37,,11.50,True,False,meshes/PHerc0800/z8064_w040
PHerc0800_z8064_w060,PHerc0800,8064,w060,5.13,,8.40,True,False,meshes/PHerc0800/z8064_w060
PHerc0800_z8064_w080,PHerc0800,8064,w080,6.72,,10.80,True,False,meshes/PHerc0800/z8064_w080
PHerc0800_z8064_w100,PHerc0800,8064,w100,8.16,,26.60,True,False,meshes/PHerc0800/z8064_w100
PHerc0800_z8672_w020,PHerc0800,8672,w020,2.04,aprova,6.50,True,False,meshes/PHerc0800/z8672_w020
PHerc0800_z8672_w040,PHerc0800,8672,w040,3.85,aprova,11.60,True,False,meshes/PHerc0800/z8672_w040
PHerc0800_z8672_w060,PHerc0800,8672,w060,5.43,,5.30,True,False,meshes/PHerc0800/z8672_w060
PHerc0800_z8672_w080,PHerc0800,8672,w080,6.93,,4.60,True,False,meshes/PHerc0800/z8672_w080
PHerc0800_z8672_w100,PHerc0800,8672,w100,8.04,,4.60,True,False,meshes/PHerc0800/z8672_w100
PHerc0800_z9264_w020,PHerc0800,9264,w020,1.96,aprova,2.70,True,False,meshes/PHerc0800/z9264_w020
PHerc0800_z9264_w040,PHerc0800,9264,w040,3.79,,4.00,True,False,meshes/PHerc0800/z9264_w040
PHerc0800_z9264_w060,PHerc0800,9264,w060,5.40,,5.20,True,False,meshes/PHerc0800/z9264_w060
PHerc0800_z9264_w080,PHerc0800,9264,w080,7.05,,3.70,True,False,meshes/PHerc0800/z9264_w080
PHerc0800_z9264_w100,PHerc0800,9264,w100,8.55,,3.30,True,False,meshes/PHerc0800/z9264_w100
PHerc0800_z9872_w020,PHerc0800,9872,w020,1.88,aprova,4.80,True,False,meshes/PHerc0800/z9872_w020
PHerc0800_z9872_w040,PHerc0800,9872,w040,3.73,,4.50,True,False,meshes/PHerc0800/z9872_w040
PHerc0800_z9872_w060,PHerc0800,9872,w060,5.41,,5.60,True,False,meshes/PHerc0800/z9872_w060
PHerc0800_z9872_w080,PHerc0800,9872,w080,7.12,,7.60,True,False,meshes/PHerc0800/z9872_w080
PHerc0800_z9872_w100,PHerc0800,9872,w100,8.69,,6.50,True,False,meshes/PHerc0800/z9872_w100
PHerc0800_z10464_w020,PHerc0800,10464,w020,1.93,,4.30,True,False,meshes/PHerc0800/z10464_w020
PHerc0800_z10464_w040,PHerc0800,10464,w040,3.89,,9.00,True,False,meshes/PHerc0800/z10464_w040
PHerc0800_z10464_w060,PHerc0800,10464,w060,5.52,,9.60,True,False,meshes/PHerc0800/z10464_w060
PHerc0800_z10464_w080,PHerc0800,10464,w080,7.22,,5.00,True,False,meshes/PHerc0800/z10464_w080
PHerc0800_z10464_w100,PHerc0800,10464,w100,8.76,,4.50,True,False,meshes/PHerc0800/z10464_w100
PHerc0800_z11072_w020,PHerc0800,11072,w020,1.99,aprova,5.90,True,False,meshes/PHerc0800/z11072_w020
PHerc0800_z11072_w040,PHerc0800,11072,w040,3.69,aprova,1.90,True,False,meshes/PHerc0800/z11072_w040
PHerc0800_z11072_w060,PHerc0800,11072,w060,5.36,,4.80,True,False,meshes/PHerc0800/z11072_w060
PHerc0800_z11072_w080,PHerc0800,11072,w080,6.86,,3.90,True,False,meshes/PHerc0800/z11072_w080
PHerc0800_z11072_w100,PHerc0800,11072,w100,8.44,,3.00,True,False,meshes/PHerc0800/z11072_w100
PHerc0800_z12272_w020,PHerc0800,12272,w020,1.95,aprova,5.90,True,False,meshes/PHerc0800/z12272_w020
PHerc0800_z12272_w040,PHerc0800,12272,w040,3.73,,2.50,True,False,meshes/PHerc0800/z12272_w040
PHerc0800_z12272_w060,PHerc0800,12272,w060,5.42,,7.50,True,False,meshes/PHerc0800/z12272_w060
PHerc0800_z12272_w080,PHerc0800,12272,w080,7.05,,5.50,True,False,meshes/PHerc0800/z12272_w080
PHerc0800_z12272_w100,PHerc0800,12272,w100,8.84,,4.90,True,False,meshes/PHerc0800/z12272_w100
PHerc0800_z12864_w020,PHerc0800,12864,w020,1.87,,6.90,True,False,meshes/PHerc0800/z12864_w020
PHerc0800_z12864_w040,PHerc0800,12864,w040,3.85,,7.40,True,False,meshes/PHerc0800/z12864_w040
PHerc0800_z12864_w060,PHerc0800,12864,w060,5.47,,8.10,True,False,meshes/PHerc0800/z12864_w060
PHerc0800_z12864_w080,PHerc0800,12864,w080,7.11,,5.80,True,False,meshes/PHerc0800/z12864_w080
PHerc0800_z12864_w100,PHerc0800,12864,w100,8.55,,6.70,True,False,meshes/PHerc0800/z12864_w100
PHerc0800_z13472_w020,PHerc0800,13472,w020,1.86,aprova,5.30,True,False,meshes/PHerc0800/z13472_w020
PHerc0800_z13472_w040,PHerc0800,13472,w040,3.80,,3.10,True,False,meshes/PHerc0800/z13472_w040
PHerc0800_z13472_w060,PHerc0800,13472,w060,5.62,,3.90,True,False,meshes/PHerc0800/z13472_w060
PHerc0800_z13472_w080,PHerc0800,13472,w080,7.27,,10.80,True,False,meshes/PHerc0800/z13472_w080
PHerc0800_z13472_w100,PHerc0800,13472,w100,9.05,,11.70,True,False,meshes/PHerc0800/z13472_w100
PHerc0800_z14064_w020,PHerc0800,14064,w020,1.91,aprova,4.80,True,False,meshes/PHerc0800/z14064_w020
PHerc0800_z14064_w040,PHerc0800,14064,w040,3.80,,6.30,True,False,meshes/PHerc0800/z14064_w040
PHerc0800_z14064_w060,PHerc0800,14064,w060,5.65,,5.40,True,False,meshes/PHerc0800/z14064_w060
PHerc0800_z14064_w080,PHerc0800,14064,w080,7.33,,5.80,True,False,meshes/PHerc0800/z14064_w080
PHerc0800_z14064_w100,PHerc0800,14064,w100,9.18,,9.30,True,False,meshes/PHerc0800/z14064_w100
